step_id,carrier_id,price
1,electricity,65.0
2,electricity,65.0
3,electricity,65.0
4,electricity,65.0
5,electricity,65.0
6,electricity,65.0
7,electricity,65.0
8,electricity,65.0
9,electricity,105.0
10,electricity,105.0
11,electricity,105.0
12,electricity,105.0
13,electricity,105.0
14,electricity,105.0
15,electricity,105.0
16,electricity,105.0
17,electricity,105.0
18,electricity,105.0
19,electricity,105.0
20,electricity,105.0
21,electricity,105.0
22,electricity,65.0
23,electricity,65.0
24,electricity,65.0
25,electricity,55.0
26,electricity,55.0
27,electricity,55.0
28,electricity,55.0
29,electricity,55.0
30,electricity,55.0
31,electricity,55.0
32,electricity,55.0
33,electricity,95.0
34,electricity,95.0
35,electricity,95.0
36,electricity,95.0
37,electricity,95.0
38,electricity,95.0
39,electricity,95.0
40,electricity,95.0
41,electricity,95.0
42,electricity,95.0
43,electricity,95.0
44,electricity,95.0
45,electricity,95.0
46,electricity,55.0
47,electricity,55.0
48,electricity,55.0
49,electricity,55.0
50,electricity,55.0
51,electricity,55.0
52,electricity,55.0
53,electricity,55.0
54,electricity,55.0
55,electricity,55.0
56,electricity,55.0
57,electricity,95.0
58,electricity,95.0
59,electricity,95.0
60,electricity,95.0
61,electricity,95.0
62,electricity,95.0
63,electricity,95.0
64,electricity,95.0
65,electricity,95.0
66,electricity,95.0
67,electricity,95.0
68,electricity,95.0
69,electricity,95.0
70,electricity,55.0
71,electricity,55.0
72,electricity,55.0
73,electricity,55.0
74,electricity,55.0
75,electricity,55.0
76,electricity,55.0
77,electricity,55.0
78,electricity,55.0
79,electricity,55.0
80,electricity,55.0
81,electricity,95.0
82,electricity,95.0
83,electricity,95.0
84,electricity,95.0
85,electricity,95.0
86,electricity,95.0
87,electricity,95.0
88,electricity,95.0
89,electricity,95.0
90,electricity,95.0
91,electricity,95.0
92,electricity,95.0
93,electricity,95.0
94,electricity,55.0
95,electricity,55.0
96,electricity,55.0
1,natural_gas,38.0
2,natural_gas,38.0
3,natural_gas,38.0
4,natural_gas,38.0
5,natural_gas,38.0
6,natural_gas,38.0
7,natural_gas,38.0
8,natural_gas,38.0
9,natural_gas,38.0
10,natural_gas,38.0
11,natural_gas,38.0
12,natural_gas,38.0
13,natural_gas,38.0
14,natural_gas,38.0
15,natural_gas,38.0
16,natural_gas,38.0
17,natural_gas,38.0
18,natural_gas,38.0
19,natural_gas,38.0
20,natural_gas,38.0
21,natural_gas,38.0
22,natural_gas,38.0
23,natural_gas,38.0
24,natural_gas,38.0
25,natural_gas,38.0
26,natural_gas,38.0
27,natural_gas,38.0
28,natural_gas,38.0
29,natural_gas,38.0
30,natural_gas,38.0
31,natural_gas,38.0
32,natural_gas,38.0
33,natural_gas,38.0
34,natural_gas,38.0
35,natural_gas,38.0
36,natural_gas,38.0
37,natural_gas,38.0
38,natural_gas,38.0
39,natural_gas,38.0
40,natural_gas,38.0
41,natural_gas,38.0
42,natural_gas,38.0
43,natural_gas,38.0
44,natural_gas,38.0
45,natural_gas,38.0
46,natural_gas,38.0
47,natural_gas,38.0
48,natural_gas,38.0
49,natural_gas,38.0
50,natural_gas,38.0
51,natural_gas,38.0
52,natural_gas,38.0
53,natural_gas,38.0
54,natural_gas,38.0
55,natural_gas,38.0
56,natural_gas,38.0
57,natural_gas,38.0
58,natural_gas,38.0
59,natural_gas,38.0
60,natural_gas,38.0
61,natural_gas,38.0
62,natural_gas,38.0
63,natural_gas,38.0
64,natural_gas,38.0
65,natural_gas,38.0
66,natural_gas,38.0
67,natural_gas,38.0
68,natural_gas,38.0
69,natural_gas,38.0
70,natural_gas,38.0
71,natural_gas,38.0
72,natural_gas,38.0
73,natural_gas,38.0
74,natural_gas,38.0
75,natural_gas,38.0
76,natural_gas,38.0
77,natural_gas,38.0
78,natural_gas,38.0
79,natural_gas,38.0
80,natural_gas,38.0
81,natural_gas,38.0
82,natural_gas,38.0
83,natural_gas,38.0
84,natural_gas,38.0
85,natural_gas,38.0
86,natural_gas,38.0
87,natural_gas,38.0
88,natural_gas,38.0
89,natural_gas,38.0
90,natural_gas,38.0
91,natural_gas,38.0
92,natural_gas,38.0
93,natural_gas,38.0
94,natural_gas,38.0
95,natural_gas,38.0
96,natural_gas,38.0
1,grid_export,45.0
2,grid_export,45.0
3,grid_export,45.0
4,grid_export,45.0
5,grid_export,45.0
6,grid_export,45.0
7,grid_export,45.0
8,grid_export,45.0
9,grid_export,45.0
10,grid_export,45.0
11,grid_export,45.0
12,grid_export,45.0
13,grid_export,45.0
14,grid_export,45.0
15,grid_export,45.0
16,grid_export,45.0
17,grid_export,45.0
18,grid_export,45.0
19,grid_export,45.0
20,grid_export,45.0
21,grid_export,45.0
22,grid_export,45.0
23,grid_export,45.0
24,grid_export,45.0
25,grid_export,45.0
26,grid_export,45.0
27,grid_export,45.0
28,grid_export,45.0
29,grid_export,45.0
30,grid_export,45.0
31,grid_export,45.0
32,grid_export,45.0
33,grid_export,45.0
34,grid_export,45.0
35,grid_export,45.0
36,grid_export,45.0
37,grid_export,45.0
38,grid_export,45.0
39,grid_export,45.0
40,grid_export,45.0
41,grid_export,45.0
42,grid_export,45.0
43,grid_export,45.0
44,grid_export,45.0
45,grid_export,45.0
46,grid_export,45.0
47,grid_export,45.0
48,grid_export,45.0
49,grid_export,45.0
50,grid_export,45.0
51,grid_export,45.0
52,grid_export,45.0
53,grid_export,45.0
54,grid_export,45.0
55,grid_export,45.0
56,grid_export,45.0
57,grid_export,45.0
58,grid_export,45.0
59,grid_export,45.0
60,grid_export,45.0
61,grid_export,45.0
62,grid_export,45.0
63,grid_export,45.0
64,grid_export,45.0
65,grid_export,45.0
66,grid_export,45.0
67,grid_export,45.0
68,grid_export,45.0
69,grid_export,45.0
70,grid_export,45.0
71,grid_export,45.0
72,grid_export,45.0
73,grid_export,45.0
74,grid_export,45.0
75,grid_export,45.0
76,grid_export,45.0
77,grid_export,45.0
78,grid_export,45.0
79,grid_export,45.0
80,grid_export,45.0
81,grid_export,45.0
82,grid_export,45.0
83,grid_export,45.0
84,grid_export,45.0
85,grid_export,45.0
86,grid_export,45.0
87,grid_export,45.0
88,grid_export,45.0
89,grid_export,45.0
90,grid_export,45.0
91,grid_export,45.0
92,grid_export,45.0
93,grid_export,45.0
94,grid_export,45.0
95,grid_export,45.0
96,grid_export,45.0
